id,label,latitude,longitude,n1,n2,n3,n4,n5,d1,d2,d3,d4,d5
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,336,294,375,335,252,0.10332866317703,0.15462141108544,0.17487696787038,0.21256534464713,0.21489610509694
164,E 47 St & 2 Ave,40.75323098,-73.97032517,228,440,516,2017,455,0.12480566818152,0.13901385780635,0.15270925229508,0.21292737412528,0.2316578182318
167,E 39 St & 3 Ave,40.7489006,-73.97604882,160,518,2017,519,517,0.12696102744068,0.15609925633712,0.26908941850511,0.27159925114408,0.29718682633581
168,W 18 St & 6 Ave,40.73971301,-73.99456405,435,496,334,482,345,0.14166222716318,0.20407145829101,0.23262909912978,0.25010362324345,0.25753992737734
173,Broadway & W 49 St,40.76064679,-73.98442659,500,510,450,469,447,0.1263719659527,0.20967229789894,0.21287941343872,0.21356390692414,0.21494925566001
174,E 25 St & 1 Ave,40.7381765,-73.97738662,2012,545,507,536,461,0.092771887492447,0.12149821309314,0.13948672808334,0.24943803612563,0.29132477931154
195,Liberty St & Broadway,40.70905623,-74.01043382,360,376,316,264,417,0.15330295019711,0.17091388315725,0.20709646294671,0.21346052397741,0.26671668499843
212,W 16 St & The High Line,40.74334935,-74.00681753,225,463,434,404,459,0.11558882759232,0.15320333435911,0.16551021839501,0.20308469815223,0.23971949997028
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,217,407,391,321,2000,0.18644134903521,0.21102491428952,0.21953320834916,0.3035649693792,0.35200648966287
217,Old Fulton St,40.70277159,-73.99383605,216,407,2000,321,414,0.18644134903521,0.20219855551644,0.23275085515412,0.29228794788034,0.32366131646773
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,310,323,390,233,395,0.12860918431805,0.14887485917517,0.19780809585198,0.20188987828297,0.21803287742319
223,W 13 St & 7 Ave,40.73781509,-73.99994661,482,284,345,383,116,0.11140784803635,0.16354020841943,0.17728835940053,0.17887880394223,0.28548081862047
224,Spruce St & Nassau St,40.71146364,-74.00552427,387,316,330,376,306,0.099977314635144,0.14183858138306,0.21018685012094,0.21557326399315,0.22339715733639
225,W 14 St & The High Line,40.74195138,-74.00803013,212,404,405,463,434,0.11558882759232,0.1623905824114,0.18167429691981,0.18854932982385,0.24367738937253
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,164,440,359,522,441,0.12480566818152,0.1498684100447,0.1663352969815,0.17626502514101,0.2531741289833
229,Great Jones St,40.72743423,-73.99379025,335,375,300,250,439,0.11170622238965,0.17130676998406,0.19359767320291,0.22120646915759,0.22459120492157
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,322,314,392,391,233,0.057947121243662,0.14974182388431,0.16844607215679,0.20597573572324,0.24427759680416
233,Joralemon St & Adams St,40.69246277,-73.98963911,314,323,143,218,392,0.10558286606244,0.17416514182942,0.19599797488131,0.20188987828297,0.22159599117282
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,438,237,300,326,439,0.089259226824795,0.14362001001787,0.16209315028145,0.16913606546036,0.20234865687254
237,E 11 St & 2 Ave,40.73047309,-73.98672378,236,326,483,438,293,0.14362001001787,0.14393221973161,0.16662008311358,0.19365847977366,0.21197981206513
238,Bank St & Washington St,40.7361967,-74.00859207,346,247,405,358,127,0.12834351606371,0.20535231017501,0.21743502766067,0.23956776424303,0.32382238805899
239,Willoughby St & Fleet St,40.69196566,-73.9813018,324,390,261,431,245,0.14435646286096,0.15721646677731,0.22757927840681,0.23974538604315,0.24084975682262
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,262,416,274,243,245,0.15009265085268,0.1974880941569,0.2198602197974,0.25761260175907,0.26333349564432
